field_id,year,crop,crop_code
1,2020,corn,1
1,2021,corn,1
1,2022,corn,1
1,2023,corn,1
2,2020,corn,1
2,2021,corn,1
2,2022,corn,1
2,2023,corn,1
3,2020,corn,1
3,2021,corn,1
3,2022,corn,1
3,2023,corn,1
4,2020,soybean,5
4,2021,soybean,5
4,2022,soybean,5
4,2023,soybean,5
5,2020,soybean,5
5,2021,soybean,5
5,2022,soybean,5
5,2023,soybean,5
6,2020,soybean,5
6,2021,soybean,5
6,2022,soybean,5
6,2023,soybean,5
7,2020,corn,1
7,2021,corn,1
7,2022,corn,1
7,2023,corn,1
8,2020,corn,1
8,2021,corn,1
8,2022,corn,1
8,2023,corn,1
9,2020,corn,1
9,2021,corn,1
9,2022,corn,1
9,2023,corn,1
10,2020,soybean,5
10,2021,soybean,5
10,2022,soybean,5
10,2023,soybean,5
11,2020,soybean,5
11,2021,soybean,5
11,2022,soybean,5
11,2023,soybean,5
12,2020,soybean,5
12,2021,soybean,5
12,2022,soybean,5
12,2023,soybean,5
13,2020,corn,1
13,2021,corn,1
13,2022,corn,1
13,2023,corn,1
14,2020,corn,1
14,2021,corn,1
14,2022,corn,1
14,2023,corn,1
15,2020,corn,1
15,2021,corn,1
15,2022,corn,1
15,2023,corn,1
16,2020,soybean,5
16,2021,soybean,5
16,2022,soybean,5
16,2023,soybean,5
17,2020,soybean,5
17,2021,soybean,5
17,2022,soybean,5
17,2023,soybean,5
18,2020,soybean,5
18,2021,soybean,5
18,2022,soybean,5
18,2023,soybean,5
